global_induced_loss,local_induced_loss,our_removal_time,full_retrain_time,num_retrain,centralized_loss,kfed_induced_loss,kfed_time,dc_induced_loss,dc_removal_time
16337.215634975357,18985.672028416186,0.8545420169830322,1.1568894386291504,1.0,,20028.960102261226,22.307045459747314,17542.97409294536,343.9042479991913
16337.03429056986,18985.354923341463,0.0035178661346435547,,,16132.874952732953,,,17538.096834691285,0.564964771270752
16336.870208680535,18985.19042548148,0.003540515899658203,,,16062.74529944331,,,17792.06164330225,0.3278665542602539
16336.682735979275,18985.00295278022,0.0036830902099609375,,,16062.520161445416,,,17457.242646506777,0.3413126468658447
16336.491787112996,18984.812003913943,0.004565000534057617,,,16062.359691487578,,,17892.07471096371,0.18331265449523926
16336.38884575358,18984.709062554528,0.004041433334350586,,,16105.427317223068,,,17534.68812528964,0.36530232429504395
16419.489742014248,19136.08214089984,0.5435068607330322,,,16061.994862997266,,,17460.443405154772,0.21586322784423828
16419.32765144231,19135.920050327903,0.004113912582397461,,,16061.812210054282,,,17790.545269109265,0.30343103408813477
16419.195161546602,19135.7875604322,0.005011558532714844,,,16061.713091056632,,,17538.735529249538,0.2509281635284424
16418.973799612646,19135.566198498243,0.00496673583984375,,,16061.434043551026,,,17540.939253047884,0.22992634773254395
16418.759224668454,19135.11599089708,0.002505779266357422,,,16061.173280827406,,,17804.33330647804,0.4680781364440918
